m,eci,d,mult
16,86,5,184
16,87,5,332
16,88,5,249
16,89,5,216
16,90,5,211
16,91,5,197
16,92,5,160
16,93,5,130
16,94,5,108
16,95,5,82
16,96,5,84
16,97,5,38
16,98,5,51
16,99,5,49
16,100,5,35
16,101,5,12
16,102,5,12
16,103,5,17
16,104,5,26
16,105,5,17
16,106,5,11
16,107,5,6
16,108,5,3
16,109,5,5
16,110,5,8
16,111,5,6
16,112,5,3
16,113,5,2
16,114,5,1
16,116,5,2
16,118,5,1
16,119,5,1
16,120,5,1
16,121,5,1
16,125,5,1
16,126,5,1
16,131,5,1
17,52,5,2
17,60,5,400
17,68,5,3651
17,70,5,6
17,71,5,79
17,72,5,976
17,73,5,2687
17,74,5,2965
17,75,5,2178
17,76,5,2162
17,77,5,2237
17,78,5,2041
17,79,5,1923
17,80,5,1897
17,81,5,1496
17,82,5,1250
17,83,5,1239
17,84,5,962
17,85,5,602
17,86,5,311
17,87,5,384
17,88,5,387
17,89,5,293
17,90,5,171
17,91,5,106
17,92,5,107
17,93,5,155
17,94,5,103
17,95,5,93
17,96,5,95
17,97,5,84
17,98,5,62
17,99,5,52
17,100,5,43
17,101,5,41
17,102,5,30
17,103,5,11
17,104,5,18
17,105,5,20
17,106,5,23
17,107,5,9
17,108,5,4
17,109,5,3
17,110,5,8
17,111,5,9
17,112,5,8
17,113,5,4
17,114,5,1
17,116,5,2
17,117,5,2
17,118,5,3
17,119,5,1
17,120,5,1
17,124,5,1
17,127,5,1
17,134,5,1
18,56,4,5
18,64,4,658
18,72,4,7744
18,74,4,6
18,75,4,84
18,76,4,1025
18,77,4,3318
18,78,4,4178
18,79,4,2569
18,80,4,1894
18,81,4,2112
18,82,4,1771
18,83,4,1375
18,84,4,1437
18,85,4,1203
18,86,4,774
18,87,4,588
18,88,4,594
18,89,4,520
18,90,4,329
18,91,4,160
18,92,4,122
18,93,4,171
18,94,4,142
18,95,4,107
18,96,4,68
18,97,4,45
18,98,4,44
18,99,4,58
18,100,4,34
18,101,4,33
18,102,4,36
18,103,4,33
18,104,4,20
18,105,4,17
18,106,4,15
18,107,4,17
18,108,4,14
18,109,4,3
18,110,4,4
18,111,4,6
18,112,4,10
18,113,4,6
18,114,4,3
18,116,4,1
18,117,4,2
18,118,4,4
18,119,4,2
18,120,4,1
18,124,4,1
18,125,4,1
18,126,4,1
18,132,4,1
19,60,4,10
19,68,4,970
19,76,4,11999
19,78,4,6
19,79,4,68
19,80,4,787
19,81,4,2880
19,82,4,4266
19,83,4,2561
19,84,4,1197
19,85,4,1504
19,86,4,1323
19,87,4,799
19,88,4,734
19,89,4,730
19,90,4,578
19,91,4,266
19,92,4,212
19,93,4,238
19,94,4,220
19,95,4,162
19,96,4,83
19,97,4,47
19,98,4,51
19,99,4,60
19,100,4,54
19,101,4,38
19,102,4,27
19,103,4,15
19,104,4,10
19,105,4,18
19,106,4,10
19,107,4,12
19,108,4,12
19,109,4,11
19,110,4,4
19,111,4,4
19,112,4,4
19,113,4,6
19,114,4,6
19,115,4,1
19,117,4,1
19,118,4,4
19,119,4,2
19,120,4,2
19,124,4,1
19,125,4,1
19,126,4,1
19,132,4,1
20,64,4,21
20,72,4,1291
20,80,4,14353
20,82,4,4
20,83,4,44
20,84,4,461
20,85,4,1871
20,86,4,3260
20,87,4,2128
20,88,4,551
20,89,4,817
20,90,4,831
20,91,4,456
20,92,4,293
20,93,4,295
20,94,4,322
20,95,4,184
20,96,4,92
20,97,4,74
20,98,4,73
20,99,4,88
20,100,4,65
20,101,4,48
20,102,4,19
20,103,4,11
20,104,4,18
20,105,4,23
20,106,4,17
20,107,4,14
20,108,4,7
20,109,4,2
20,110,4,1
20,111,4,6
20,112,4,2
20,113,4,5
20,114,4,3
20,115,4,3
20,116,4,1
20,118,4,1
20,119,4,3
20,120,4,2
20,124,4,1
20,125,4,1
20,126,4,1
20,132,4,1
21,60,4,1
21,68,4,40
21,76,4,1516
21,84,4,13766
21,86,4,2
21,87,4,21
21,88,4,215
21,89,4,949
21,90,4,1952
21,91,4,1467
21,92,4,189
21,93,4,339
21,94,4,419
21,95,4,260
21,96,4,120
21,97,4,80
21,98,4,121
21,99,4,97
21,100,4,66
21,101,4,39
21,102,4,10
21,103,4,26
21,104,4,26
21,105,4,31
21,106,4,19
21,107,4,8
21,108,4,1
21,109,4,4
21,110,4,5
21,111,4,9
21,112,4,6
21,113,4,3
21,114,4,1
21,117,4,2
21,118,4,1
21,119,4,1
21,120,4,1
21,121,4,1
21,125,4,1
21,126,4,1
21,132,4,1
22,64,4,1
22,72,4,64
22,80,4,1581
22,88,4,10927
22,90,4,1
22,91,4,8
22,92,4,82
22,93,4,388
22,94,4,942
22,95,4,848
22,96,4,51
22,97,4,109
22,98,4,163
22,99,4,134
22,100,4,61
22,101,4,14
22,102,4,32
22,103,4,36
22,104,4,32
22,105,4,26
22,106,4,6
22,107,4,5
22,108,4,4
22,109,4,10
22,110,4,10
22,111,4,8
22,112,4,2
22,113,4,1
22,115,4,2
22,116,4,2
22,117,4,3
22,118,4,2
22,123,4,1
22,125,4,1
22,132,4,1
23,68,3,2
23,76,3,95
23,84,3,1460
23,92,3,7354
23,94,3,1
23,95,3,3
23,96,3,26
23,97,3,131
23,98,3,376
23,99,3,412
23,100,3,8
23,101,3,30
23,102,3,50
23,103,3,53
23,104,3,32
23,105,3,7
23,106,3,2
23,107,3,8
23,108,3,11
23,109,3,13
23,110,3,4
23,111,3,3
23,113,3,2
23,114,3,2
23,115,3,4
23,116,3,2
23,117,3,1
23,121,3,1
23,122,3,1
23,123,3,1
23,129,3,1
24,72,3,5
24,80,3,126
24,88,3,1181
24,96,3,4260
24,99,3,1
24,100,3,7
24,101,3,37
24,102,3,126
24,103,3,172
24,105,3,5
24,106,3,13
24,107,3,18
24,108,3,13
24,109,3,4
24,111,3,1
24,112,3,2
24,113,3,5
24,114,3,2
24,115,3,2
24,119,3,1
24,120,3,1
24,121,3,1
24,127,3,1
25,76,3,9
25,84,3,139
25,92,3,832
25,100,3,2136
25,104,3,2
25,105,3,9
25,106,3,37
25,107,3,64
25,110,3,2
25,111,3,6
25,112,3,5
25,113,3,2
25,117,3,1
25,118,3,1
25,119,3,1
25,125,3,1
26,72,3,1
26,80,3,14
26,88,3,133
26,96,3,515
26,104,3,934
26,109,3,2
26,110,3,10
26,111,3,21
26,115,3,1
26,116,3,2
26,117,3,1
26,123,3,1
27,76,3,1
27,84,3,20
27,92,3,110
27,100,3,271
27,108,3,357
27,114,3,3
27,115,3,7
27,121,3,1
28,80,3,2
28,88,3,22
28,96,3,73
28,104,3,124
28,112,3,120
28,119,3,3
29,84,2,4
29,92,2,20
29,100,2,41
29,108,2,50
29,116,2,33
30,80,2,1
30,88,2,5
30,96,2,15
30,104,2,20
30,112,2,15
30,120,2,7
31,84,2,1
31,92,2,5
31,100,2,9
31,108,2,6
31,116,2,3
31,124,2,1
32,88,2,2
32,96,2,4
32,104,2,3
32,112,2,1
32,120,2,1
33,84,2,1
33,92,2,2
33,100,2,1
33,108,2,1
34,88,2,1
34,96,2,1
35,84,2,1
36,72,1,1
